馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,コスモカノア,牝3,ムルザ,美浦・大和田,差し,19.2,7,6,3歳未勝利,35.1,374(+2),中京,15,中1週,Y,,3,ゴールドシップ,ディープインパクト,,
2,1,スマートレザルト,牡3,リョン,栗東・吉田,先行,11.9,4,14,3歳未勝利,42.3,458(-2),京都,77,中10週,Y,,3,オルフェーヴル,クロフネ,,
3,2,マリエッティ,牝3,藤岡佑,栗東・庄野,差し,89.3,13,10,3歳未勝利,37.3,414(-10),小倉,22,中2週,Y,,3,スワーヴリチャード,クロフネ,,
4,2,ルクスマーベリック,牡3,横山典,栗東・松永幹,先行,6.6,3,3,3歳未勝利,35.1,454(+2),中京,15,中1週,Y,,3,エピファネイア,ステイゴールド,,
5,3,ソーリャ,牡3,秋山稔,美浦・尾形,差し,773.2,16,15,3歳未勝利,37.5,376(-6),中山,22,中2週,Y,,3,ビーチパトロール,フジキセキ,,
6,3,クーデメイン,牝3,Ｍデム,美浦・矢嶋,先行,53.6,11,15,2歳未勝利,43.2,486(-2),中山,92,中12週,Y,,2,サトノアラジン,ホワイトマズル,,
7,4,ナムラマーヤ,牝3,原田和,美浦・蛯名利,差し,685.2,15,13,2歳新馬,36.0,416(-10),東京,127,中17週,Y,,1,アルアイン,ダイワメジャー,,
8,4,ビーンスターク,牡3,富田,美浦・栗田,先行,52.4,10,6,3歳未勝利,37.6,474(+2),中山,14,中1週,Y,,3,ロジャーバローズ,アグネスデジタル,,
9,5,アスクカムオンモア,牡3,川田,栗東・藤原,先行,1.7,1,2,3歳未勝利,34.7,492(-2),中京,14,中1週,Y,,2,ブリックスアンドモルタル,キングカメハメハ,,
10,5,プロスペクト,牡3,吉田隼,栗東・須貝,先行,14.1,5,5,2歳新馬,39.6,508(+18),阪神,182,中25週,Y,Y,1,リオンディーズ,Hold That Tiger,,
11,6,リクサニー,牡3,坂井,栗東・武英,,45.5,9,,,,466(0),,,,,,,サトノクラウン,ディープインパクト,,
12,6,ダンツトレント,牡3,丸山,栗東・本田,差し,17.5,6,4,3歳未勝利,35.5,484(-6),小倉,42,中5週,Y,,3,スワーヴリチャード,ハービンジャー,,
13,7,リンドバーグ,セ3,松山,栗東・寺島,,36.6,8,6,2歳未勝利,36.5,458(-12),阪神,99,中13週,Y,,2,ドゥラメンテ,ブライアンズタイム,,
14,7,レッドアスール,牡3,松本,栗東・松下,,58.6,12,,,,402(0),,,,,,,ハービンジャー,ロードカナロア,,
15,8,セイウンシテンノウ,牡3,大野,美浦・上原博,差し,417.4,14,14,3歳未勝利,42.7,510(-24),東京,42,中5週,Y,,2,ダイワメジャー,Sidney's Candy,,
16,8,マイファミリー,牡3,菅原明,美浦・深山,差し,6.2,2,5,3歳未勝利,34.8,440(+10),中山,71,中9週,Y,,3,ダノンバラード,ストーミングホーム,,
