券種,組み合わせ,配当,人気
単勝,8,170,1
複勝,8,110,1
複勝,1,150,3
複勝,7,170,4
枠連,1-7,470,2
馬連,1-8,410,2
ワイド,1-8,230,2
ワイド,7-8,280,3
ワイド,1-7,540,9
馬単,8-1,660,2
3連複,1-7-8,850,4
3連単,8-1-7,2490,6
