コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"9,5(2,17)(11,7)(8,16)(13,15)(6,12)14(3,4)-10,1"
4コーナー,"9(2,5,17)(11,7)(8,16)(6,13,15)12(3,14)4,10-1"
