券種,組み合わせ,配当,人気
単勝,1,2260,8
複勝,1,760,9
複勝,2,210,3
複勝,7,370,6
枠連,1-2,6000,22
馬連,1-2,6130,26
ワイド,1-2,1830,24
ワイド,1-7,3200,33
ワイド,2-7,980,12
馬単,1-2,12420,52
3連複,1-2-7,19280,68
3連単,1-2-7,116520,366
