券種,組み合わせ,配当,人気
単勝,15,1350,5
複勝,15,380,5
複勝,3,240,4
複勝,5,620,7
枠連,2-8,3870,15
馬連,3-15,5180,16
ワイド,3-15,1750,17
ワイド,5-15,4140,43
ワイド,3-5,2660,25
馬単,15-3,15700,50
3連複,3-5-15,27190,73
3連単,15-3-5,219980,551
