馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,スノーキャップ,牡2,55.0,柴田大,美浦・嘉藤,追込,53.5,13,10,2歳未勝利,35.5,,中山,16,中1週,Y,,3,フィレンツェファイア,ブラックタイド,,
2,2,ゴータマ,牡2,55.0,丹内,美浦・池上,先行,22.8,8,9,2歳新馬,35.8,,新潟,44,中5週,Y,,1,ディスクリートキャット,パイロ,,
3,3,ナナレイ,牝2,55.0,丸山,美浦・小野,差し,36.0,11,9,2歳新馬,35.3,,東京,94,中12週,Y,,1,カリフォルニアクローム,ドリームジャーニー,,
4,3,スペシャルサンクス,牝2,55.0,嶋田,美浦・矢嶋,,4.9,2,4,2歳未勝利,35.7,,中山,16,中1週,Y,,3,フィレンツェファイア,フレンチデピュティ,,
5,4,ナリタライズ,牡2,53.0,石田,栗東・高橋亮,差し,25.2,9,12,2歳新馬,41.3,,阪神,17,中1週,Y,,1,イスラボニータ,ローエングリン,,
6,4,ニシノタカオ,牡2,55.0,野中,美浦・堀内,先行,44.4,12,10,2歳新馬,36.3,,新潟,52,中6週,Y,,1,セイウンコウセイ,ベーカバド,,
7,5,シジマ,牝2,55.0,,美浦・池上,先行,14.0,6,6,2歳新馬,35.4,,新潟,44,中5週,Y,,1,アメリカンペイトリオット,コマンズ,,
8,5,バタフライ,牝2,55.0,原田和,美浦・松山,逃げ,3.5,1,2,2歳未勝利,36.9,,札幌,24,中2週,Y,,2,タワーオブロンドン,Intense Focus,,
9,6,ニシノムホウモノ,牡2,55.0,横山和,美浦・村田,差し,6.1,4,12,2歳新馬,35.4,,新潟,24,中2週,Y,,1,ビッグアーサー,ディープインパクト,,
10,6,ニシノアトール,牡2,55.0,杉原,美浦・武市,逃げ,18.3,7,12,2歳新馬,37.0,,新潟,52,中6週,Y,,1,ネロ,オルフェーヴル,,
11,7,ハミングリップス,牝2,55.0,菊沢,美浦・青木,先行,70.9,14,8,2歳未勝利,38.1,,札幌,17,中1週,Y,,2,タワーオブロンドン,ディープインパクト,,
12,7,ダンシングアワー,牝2,55.0,小林脩,美浦・室井,差し,11.7,5,6,2歳新馬,35.0,,福島,79,中10週,Y,,1,ディーマジェスティ,スマートボーイ,,
13,8,トーセンルルド,牝2,55.0,佐々木,美浦・杉浦,先行,5.1,3,6,2歳未勝利,35.4,,札幌,23,中2週,Y,,3,ハイランドリール,Red Runner,,
14,8,タワーウマザンマイ,牡2,55.0,,美浦・青木,先行,29.6,10,15,2歳新馬,38.3,,新潟,24,中2週,Y,,1,タワーオブロンドン,ダイワメジャー,,
