馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,コンアフェット,牝4,56.0,丹内,美浦・斎藤誠,差し,20.6,8,10,,37.4,484(+2),新潟,58,中7週,Y,,3,ルーラーシップ,ホワイトマズル,,
2,1,ヴァズレーヌ,牝5,56.0,,美浦・嘉藤,差し,19.5,7,3,,36.5,476(-8),新潟,58,中7週,Y,,3,フリオーソ,クロフネ,,
3,2,パースウェイド,牝4,56.0,田辺,美浦・中舘,先行,4.0,2,2,,36.7,480(-2),新潟,58,中7週,Y,,3,ナダル,ゴールドアリュール,,
4,2,エアトベーレ,牝3,53.0,嶋田,美浦・手塚久,先行,18.5,6,1,3歳以上1勝クラス,38.4,410(-6),福島,65,中8週,Y,,3,レイデオロ,ディープインパクト,,
5,3,サファイアテソーロ,牝3,53.0,木幡巧,美浦・高木,差し,12.5,5,1,3歳以上1勝クラス,37.3,450(+4),東京,108,中14週,Y,,3,シニスターミニスター,クロフネ,,
6,3,フィールオーサム,牝4,56.0,横山武,美浦・岩戸,,4.3,3,2,,38.4,448(0),新潟,51,中6週,Y,,3,ルヴァンスレーヴ,ブラックタイド,,
7,4,コパノエビータ,牝5,56.0,長浜,美浦・手塚久,差し,156.8,15,10,,38.7,438(+4),新潟,23,中2週,Y,,3,ダノンレジェンド,ゴールドアリュール,,B
8,4,カスバートテソーロ,牝4,56.0,,美浦・畠山,差し,56.7,10,10,,38.6,450(-12),札幌,30,中3週,Y,,3,ゴールドアクター,Shirocco,,
9,5,ルージュマローネ,牝4,56.0,佐々木,美浦・栗田,先行,131.8,14,12,,38.4,476(-6),札幌,24,中2週,Y,,3,ダイワメジャー,カジノドライヴ,,
10,5,ヴァリオーサ,牝4,56.0,大野,美浦・新開,差し,172.8,16,11,,35.0,500(+20),東京,121,中16週,Y,,3,エピファネイア,Crocker Road,,
11,6,ロイスター,牝3,53.0,西塚,栗東・笹田,差し,9.4,4,12,,40.6,466(-2),中京,31,中3週,Y,,3,キズナ,タートルボウル,,
12,6,レーヴドレフォン,牝5,56.0,丸田,栗東・橋田,差し,58.3,11,11,,37.3,476(0),新潟,58,中7週,Y,,3,ドレフォン,オルフェーヴル,,B
13,7,セレーノ,牝3,53.0,丸山,栗東・高橋亮,先行,55.2,9,1,3歳以上1勝クラス,37.2,462(+4),中京,24,中2週,Y,,3,モーリス,ディープインパクト,,
14,7,ヴンダーバール,牝3,53.0,斎藤,美浦・斎藤誠,,2.9,1,1,3歳以上1勝クラス,38.3,494(+8),福島,79,中10週,Y,,3,ナダル,オルフェーヴル,,
15,8,ステラスプレンダー,牝5,56.0,ミシェ,栗東・石坂,先行,107.3,13,15,,37.5,470(+20),中京,59,中7週,Y,,3,ロードカナロア,Equal Stripes,,B
16,8,ユーヴェリア,牝5,56.0,国分恭,栗東・中尾,差し,69.6,12,8,,38.8,450(+14),小倉,66,中8週,Y,,2,オルフェーヴル,ファルブラヴ,,
