券種,組み合わせ,配当,人気
単勝,8,1040,7
複勝,8,340,7
複勝,11,190,2
複勝,6,200,1
枠連,6-8,850,1
馬連,8-11,5050,25
ワイド,8-11,1650,29
ワイド,6-8,1230,19
ワイド,6-11,520,1
馬単,8-11,11080,57
3連複,6-8-11,8340,30
3連単,8-11-6,76380,376
