馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,リーティアコナル,牡4,小崎,栗東・高橋一,先行,4.3,2,4,4歳以上1勝クラス,35.1,480(-2),中山,26,中3週,Y,,3,Kingman,English Channel,,B
2,2,デリシュー,牡5,石田,美浦・新開,先行,20.6,8,5,4歳以上1勝クラス,33.6,466(-2),小倉,13,中1週,Y,,3,ワールドエース,Sea The Stars,,
3,3,イゾレエオリア,牝6,小沢,美浦・伊藤大,差し,48.4,11,8,4歳以上1勝クラス,34.2,464(+2),小倉,13,中1週,Y,,3,ハービンジャー,キングカメハメハ,,
4,4,オーシンエス,牡4,松若,栗東・宮,先行,9.8,5,5,3歳以上1勝クラス,33.8,494(+20),中京,161,中22週,Y,,3,デクラレーションオブウォー,ディープインパクト,,
5,4,ウインイルネージュ,牝4,嶋田,美浦・和田郎,差し,94.2,13,11,4歳以上1勝クラス,36.2,420(-6),小倉,7,連闘,Y,,3,ゴールドシップ,ダノンシャンティ,,
6,5,ゴールドジェスター,セ4,西塚,美浦・中川,追込,78.3,12,14,4歳以上1勝クラス,35.7,446(+6),小倉,14,中1週,Y,,3,シルバーステート,スクリーンヒーロー,,
7,5,ウインリベラシオン,牡4,長岡,栗東・緒方,,13.3,7,15,,36.8,496(+8),福島,75,中10週,Y,,3,ブリックスアンドモルタル,ダンスインザダーク,,
8,6,マイバラード,牡6,菊沢,美浦・松永康,先行,34.4,9,6,4歳以上1勝クラス,34.0,486(+4),小倉,13,中1週,Y,,3,ダノンバラード,ロージズインメイ,,
9,6,サンライズバブル,牡4,斎藤,栗東・前川,差し,4.5,3,6,4歳以上1勝クラス,34.5,520(-2),京都,27,中3週,Y,,3,ゴールドシップ,バゴ,,
10,7,デルシエロ,牡5,鮫島駿,栗東・清水久,差し,11.3,6,8,3歳以上1勝クラス,34.3,426(+10),京都,76,中10週,Y,,3,レイデオロ,ディープインパクト,,
11,7,マイネルモメンタム,牡5,横山琉,美浦・相沢,差し,43.9,10,6,3歳以上1勝クラス,34.7,502(+26),中山,140,中19週,Y,,3,ゴールドシップ,アドマイヤコジーン,,
12,8,シンドリームシン,牡5,藤岡佑,栗東・武幸,差し,7.1,4,4,4歳以上1勝クラス,33.8,504(+2),京都,27,中3週,Y,,3,キズナ,Harlan's Holiday,,
13,8,サミダレナイツ,牡4,丹内,栗東・谷,差し,4.0,1,5,4歳以上1勝クラス,34.2,490(-2),京都,27,中3週,Y,,3,トーホウジャッカル,ストリートセンス,,
