券種,組み合わせ,配当,人気
単勝,8,920,5
複勝,8,300,6
複勝,2,510,7
複勝,1,210,4
枠連,2-7,8760,23
馬連,2-8,11290,26
ワイド,2-8,2620,27
ワイド,1-8,750,11
ワイド,1-2,1300,17
馬単,8-2,18190,50
3連複,1-2-8,14920,46
3連単,8-2-1,140330,315
