券種,組み合わせ,配当,人気
単勝,14,470,2
複勝,14,170,2
複勝,8,140,1
複勝,13,190,4
枠連,5-8,360,1
馬連,8-14,890,1
ワイド,8-14,370,1
ワイド,13-14,480,3
ワイド,8-13,460,2
馬単,14-8,1860,3
3連複,8-13-14,1480,1
3連単,14-8-13,8220,6
