コーナー,通過順
1コーナー,"2,7(4,6)1-3-5"
2コーナー,"2,7(4,6)1-3,5"
3コーナー,"2,7(4,6)(3,1)5"
4コーナー,"(*2,7)(4,6)-1(3,5)"
