馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,キタノファーンヒル,牝3,江田照,栗東・加藤公,逃げ,22.7,6,1,名古屋CC,38.0,,名古屋,18,中2週,,,2,ヴァンゴッホ,ヴィクトワールピサ,,
2,2,ビッグベルーガ,牡6,菊沢,栗東・牧浦,差し,23.5,7,10,,36.1,,福島,71,中9週,Y,,3,ハービンジャー,ゼンノロブロイ,,
3,3,コズミックダンサー,牡4,西村淳,栗東・橋田,,3.0,1,2,,37.0,,東京,99,中13週,Y,,3,アドマイヤマーズ,Medaglia d'Oro,,B
4,4,コルデアニル,牝6,上里,美浦・金成,追込,32.1,10,11,障害3歳以上未勝利,13.8,,東京,106,中14週,Y,,3,モーリス,フジキセキ,,
5,5,マッドゲイル,牡3,横山武,美浦・上原佑,先行,11.1,5,7,,38.6,,新潟,49,中6週,Y,,3,ルヴァンスレーヴ,ダイワメジャー,,
6,5,ビップチェイス,牡5,杉原,美浦・田島,先行,43.0,11,13,,34.5,,中京,21,中2週,Y,,3,アルアイン,ナリタトップロード,,B
7,6,カフェアローロ,牝5,石神道,美浦・古賀慎,差し,47.0,12,13,,34.4,,新潟,22,中2週,Y,,3,ダンカーク,マンハッタンカフェ,,
8,6,ニヒトツーゼーア,牡4,ルメー,栗東・中竹,差し,9.1,4,1,3歳以上1勝クラス,38.1,,札幌,28,中3週,Y,,3,リオンディーズ,タニノギムレット,,
9,7,オオタチ,牡4,佐々木,美浦・久保田,差し,4.6,3,6,,36.8,,東京,133,中18週,Y,,3,ルヴァンスレーヴ,フリオーソ,,B
10,7,シャローファースト,牡3,横山和,栗東・安田,先行,3.7,2,1,3歳以上1勝クラス,37.9,,函館,70,中9週,Y,,3,クリソベリル,Tapizar,,B
11,8,ダブルジャッジ,セ5,ミシェ,栗東・笹田,差し,24.6,8,10,4歳以上2勝クラス,38.9,,阪神,189,中26週,Y,Y,3,ロードカナロア,マジェスティックウォリアー,,
12,8,エーデル,牝5,丸田,美浦・金成,差し,24.9,9,8,,35.8,,札幌,14,中1週,Y,,3,デクラレーションオブウォー,フジキセキ,,
