コーナー,通過順
1コーナー,"4,5(9,10,13)3,7,12,6,15-11,2,8-1-16-14"
2コーナー,"4,5(9,10,13)3(7,12)-6,15-11,2,8,1-16-14"
3コーナー,"(*4,5)(3,9,10)(7,13)12,6(15,2)(11,8)1-(14,16)"
4コーナー,"4,5(3,10)(6,7)(9,12)(15,2)(11,8)1(13,14)-16"
