コーナー,通過順
1コーナー,"2,4(6,7,3)8,5,1"
2コーナー,"2,4(6,7,3)-(5,8,1)"
3コーナー,"(*2,4)(6,3)1,5,8,7"
4コーナー,"(2,*4,3)(6,1)-(5,8)-7"
