馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,サトノブリジャール,セ4,58.0,西塚,栗東・友道,差し,24.7,7,7,,39.7,450(-4),小倉,83,中11週,Y,,3,エピファネイア,ディープインパクト,,
2,2,ニホンピロゴルディ,牡5,58.0,,栗東・安達,追込,8.2,3,2,4歳以上1勝クラス,33.8,468(0),京都,139,中19週,Y,,3,ゴールドシップ,カジノドライヴ,,
3,3,コジオスコ,牡4,58.0,浜中,栗東・武幸,差し,28.9,8,2,3歳未勝利,35.1,518(+16),中京,552,中78週,Y,Y,3,エピファネイア,Fastnet Rock,,
4,4,エースフライト,牡3,55.0,松山,栗東・池江,差し,1.7,1,3,3歳以上1勝クラス,34.7,504(-2),福島,90,中12週,Y,,3,コントレイル,Bellamy Road,,
5,5,トモジャシック,牡4,58.0,秋山稔,栗東・大根田,,122.3,10,7,金沢城賞,41.9,478(-3),金沢,11,中1週,,,2,タリスマニック,エンパイアメーカー,,
6,6,シュプリームレルム,牡3,55.0,西村淳,栗東・高野,差し,3.3,2,4,3歳以上1勝クラス,33.9,514(+4),阪神,21,中2週,Y,,3,エピファネイア,Dubawi,,
7,6,コレデヨカロウ,牡3,53.0,柴田裕,栗東・角田,追込,75.5,9,12,,35.4,458(+4),阪神,189,中26週,Y,Y,2,グレーターロンドン,ホワイトマズル,,
8,7,ビヨンドザドリーム,牡6,58.0,中井,栗東・小椋,逃げ,19.0,5,8,3歳以上1勝クラス,36.2,444(+6),小倉,70,中9週,Y,,3,ドリームジャーニー,ハービンジャー,,
9,7,メイショウピリカ,牝4,56.0,石橋脩,栗東・本田,差し,19.8,6,11,3歳以上1勝クラス,34.6,484(-2),中京,34,中4週,Y,,3,オルフェーヴル,タニノギムレット,,
10,8,ボンボンベイビー,牡3,55.0,坂井,栗東・矢作,差し,13.7,4,1,3歳未勝利,35.7,448(+10),福島,84,中11週,Y,,3,コントレイル,Galileo,,B
11,8,マサハヤヴォス,牡5,58.0,吉村,栗東・柴田,差し,228.0,11,12,4歳以上1勝クラス,35.7,470(+6),京都,153,中21週,Y,,3,ロゴタイプ,ジャングルポケット,,
