コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"8(3,13)(4,7)(1,5,6,10)(2,9,12)11"
4コーナー,"(*8,13)(3,4,7)(1,5,6)(9,10,12)(2,11)"
