コーナー,通過順
1コーナー,"7,12(13,14)(2,8)(5,6)-(10,11)1,9-(4,3)"
2コーナー,"7,12,14,8(2,13)-(5,6)-(10,11)1(9,3)4"
3コーナー,"(*7,12)14,8(2,13)(5,6)3(10,11)-1,9,4"
4コーナー,"(*7,12)(2,8,14)(5,6)13,3(10,11)-9,1-4"
