コーナー,通過順
1コーナー,"9(10,11)8(6,14)(2,4)16(1,12)(3,13)5-15-7"
2コーナー,"9,10(8,11)6(2,14)4(1,16)3(5,12,13)-15-7"
3コーナー,"(*9,10)(11,16)(8,2)(14,13)(1,4,6)(5,3,12)-15-7"
4コーナー,"(*9,10)(11,16)(8,2)(1,4,14)(5,3,13)15(6,12)=7"
