コーナー,通過順
1コーナー,"13,11(9,12,14)(1,6)(2,7)4,10,8,3,5"
2コーナー,"(*13,11)(9,12)14(1,6)-(2,7)-(4,10)8,3,5"
3コーナー,"(13,*11)14(9,12,6)(1,2,7,10)8,4(5,3)"
4コーナー,"13(11,6,10)(9,12,7,8)(14,2)1,5,4,3"
