着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,15,ケーヴァラ,牡4,55.0,▲柴田裕,1:52.7,,4,6.8,37.9,栗東羽月,492(+4)
2,6,11,エイシンマールス,牡3,52.0,★河原田,1:53.5,5,7,9.1,38.5,栗東今野,474(+6)
3,3,5,ダイシンレアレア,牡3,56.0,横山琉,1:53.6,クビ,8,13.7,38.0,栗東高橋一,492(+12)
4,5,9,チュウワダイオウ,セ4,56.0,△鷲頭,1:53.7,1,11,38.2,38.0,栗東加藤公,458(-2)
5,5,8,マシュー,牡4,56.0,◇永島,1:53.9,3/4,6,8.8,37.2,美浦尾形,478(+4)
6,7,12,ロストボール,セ6,55.0,▲森田,1:54.0,1/2,14,115.5,37.6,美浦加藤和,448(0)
7,8,14,エポカリーナ,牡3,53.0,▲古川奈,1:54.1,1/2,12,50.7,38.5,美浦土田,456(-12)
8,6,10,チャチャピンク,牡3,56.0,亀田,1:54.2,1/2,1,5.1,39.0,栗東北出,488(+22)
9,3,4,カフェノーチェ,牡3,53.0,▲舟山,1:54.2,クビ,5,7.0,39.5,美浦古賀,526(+2)
10,4,7,ロミヒ,牝3,51.0,▲石神道,1:54.2,ハナ,3,6.8,38.7,美浦伊藤圭,508(+22)
11,2,3,テーオーシュタイン,牡3,53.0,▲和田陽,1:54.4,3/4,2,6.0,38.3,栗東梅田,464(+8)
12,2,2,インディゴ,牡3,56.0,斎藤,1:54.4,アタマ,10,23.4,38.3,栗東野中,492(+4)
13,4,6,ヤマニンクイッカー,牡6,57.0,☆松本,1:54.8,2.1/2,9,21.1,39.7,美浦田島,476(+6)
14,7,13,アーチーテソーロ,牡3,56.0,小林脩,1:58.2,大,15,258.3,42.9,美浦牧,488(+2)
15,1,1,ヴァイオパイシーズ,牝3,54.0,小沢,1:59.9,10,13,71.4,43.7,美浦和田勇,466(+2)
