馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,メイショウコシュウ,牡2,武豊,栗東・松永幹,,2.6,1,,,,488(0),,,,,,,ナダル,スズカマンボ,,
2,2,チカマヨルキーナ,牝2,藤岡佑,栗東・藤岡,,43.6,9,,,,460(0),,,,,,,ナダル,ハーツクライ,,
3,3,ウォータースパウト,牝2,佐々木,美浦・小笠,,50.8,10,,,,480(0),,,,,,,ルヴァンスレーヴ,ハーツクライ,,
4,4,エクストラプッシュ,牡2,吉田隼,栗東・奥村豊,,17.6,7,,,,520(0),,,,,,,ナダル,ディープインパクト,,
5,4,ミヤエスケープ,牝2,横山武,美浦・伊藤圭,,3.5,2,,,,490(0),,,,,,,モーリス,Tale of the Cat,,
6,5,ニャンタロウ,牡2,舟山,美浦・武市,,50.9,11,,,,466(0),,,,,,,ホッコータルマエ,ヘニーヒューズ,,
7,5,ハグレジョー,牡2,池添,栗東・岡田,,12.8,5,,,,486(0),,,,,,,エスポワールシチー,ヘニーヒューズ,,
8,6,ロードアマルフィ,牡2,鮫島駿,栗東・中村,,5.2,3,,,,504(0),,,,,,,ルヴァンスレーヴ,クロフネ,,
9,6,シホノソルジェンテ,牡2,浜中,栗東・畑端,,14.7,6,,,,492(0),,,,,,,ルヴァンスレーヴ,ルーラーシップ,,
10,7,チャーリー,牡2,北村友,美浦・国枝,,12.4,4,,,,508(0),,,,,,,クリソベリル,War Front,,
11,7,フォールティア,牡2,原田和,美浦・小野,,367.7,13,,,,498(0),,,,,,,ベストウォーリア,ハーツクライ,,
12,8,ニミッツハイウェイ,牡2,和田陽,栗東・梅田,,59.8,12,,,,452(0),,,,,,,ジャスタウェイ,キングカメハメハ,,
13,8,テイエムキハク,牡2,丹内,美浦・伊藤圭,,23.7,8,,,,466(0),,,,,,,ルヴァンスレーヴ,サウスヴィグラス,,
