券種,組み合わせ,配当,人気
単勝,14,480,2
複勝,14,210,3
複勝,1,210,4
複勝,5,560,10
枠連,1-8,1380,6
馬連,1-14,1750,7
ワイド,1-14,670,5
ワイド,5-14,2890,36
ワイド,1-5,2170,24
馬単,14-1,3390,13
3連複,1-5-14,14620,49
3連単,14-1-5,55180,181
