券種,組み合わせ,配当,人気
単勝,6,290,1
複勝,6,150,1
複勝,13,170,3
複勝,7,730,8
枠連,3-7,540,2
馬連,6-13,670,2
ワイド,6-13,330,3
ワイド,6-7,1500,17
ワイド,7-13,1810,20
馬単,6-13,1080,2
3連複,6-7-13,6800,22
3連単,6-13-7,21060,70
