馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,プラチナトレジャー,牡8,60.0,,美浦・高木,差し,3.6,3,1,,13.3,496(+6),東京,315,中44週,Y,Y,3,キングカメハメハ,クロフネ,,
2,2,メイショウソムリエ,セ5,60.0,大江圭,美浦・蛯名正,,3.5,2,8,,13.2,506(-10),東京,105,中14週,Y,,3,サトノダイヤモンド,Storm Cat,,
3,3,ネビーイーム,牡8,61.0,小牧加,栗東・中竹,先行,2.9,1,4,,14.0,544(+6),京都,133,中18週,Y,,3,キズナ,シングスピール,,B
4,4,トゥラッタッタ,牡5,59.0,五十嵐,美浦・新開,先行,9.1,5,2,,13.3,478(+10),福島,77,中10週,Y,,3,デクラレーションオブウォー,ハーツクライ,,
5,5,コレクテイニア,牡6,59.0,上野,美浦・戸田,差し,4.2,4,4,,13.1,480(+10),東京,105,中14週,Y,,3,Collected,Kitten's Joy,,
6,6,アクロスザリバー,牡4,59.0,坂口,美浦・蛯名利,先行,62.6,6,7,,13.8,426(-2),中山,21,中2週,Y,,3,カリフォルニアクローム,ウォーエンブレム,,
