券種,組み合わせ,配当,人気
単勝,2,4970,9
複勝,2,560,8
複勝,4,110,1
複勝,14,290,5
枠連,1-2,2400,9
馬連,2-4,3380,9
ワイド,2-4,1310,13
ワイド,2-14,6640,51
ワイド,4-14,460,3
馬単,2-4,12750,31
3連複,2-4-14,12630,40
3連単,2-4-14,140860,303
