馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,プリンキピッサ,牝2,55.0,西村淳,栗東・高野,,3.0,1,2,2歳未勝利,33.4,458(+10),中京,34,中4週,Y,,2,エフフォーリア,Acclamation,,
2,2,スマートエール,牝2,55.0,高倉,栗東・渡辺,逃げ,10.4,5,2,2歳新馬,34.6,404(0),阪神,21,中2週,Y,,1,グレーターロンドン,Liam's Map,,
3,2,ニクスルーナ,牝2,55.0,岩田望,栗東・高柳大,追込,3.5,2,2,2歳未勝利,34.3,500(0),阪神,20,中2週,Y,,2,ジャンダルム,ハーツクライ,,
4,3,ビエントゾンダ,牝2,55.0,松山,栗東・武英,先行,12.7,6,4,2歳新馬,36.2,478(+6),小倉,69,中9週,Y,,1,ロードカナロア,Dance Brightly,,
5,3,マーゴットマシェリ,牝2,55.0,池添,栗東・小林,先行,4.6,3,2,2歳未勝利,34.8,462(0),中京,35,中4週,Y,,2,スワーヴリチャード,Giant's Causeway,,
6,4,スクールディーヴァ,牝2,55.0,Ｍデム,栗東・斉藤崇,差し,27.8,7,4,2歳新馬,33.6,426(+4),中京,42,中5週,Y,,1,ダノンキングリー,キングカメハメハ,,
7,4,ベルメグスタ,牝2,55.0,,栗東・森田,先行,122.6,12,5,2歳新馬,35.2,392(-6),阪神,21,中2週,Y,,1,ダノンバラード,マツリダゴッホ,,
8,5,リンピッド,牝2,55.0,富田,栗東・飯田,差し,350.7,15,8,2歳新馬,35.3,482(0),阪神,21,中2週,Y,,1,ジャンダルム,クロフネ,,
9,5,リボンロゼッタ,牝2,55.0,川須,栗東・秋山,先行,48.7,8,6,2歳新馬,34.5,448(+14),中京,55,中7週,Y,,1,ミッキーアイル,ドゥラメンテ,,
10,6,フォルトゥナロッサ,牝2,55.0,浜中,栗東・武幸,先行,7.6,4,4,2歳未勝利,36.8,458(-8),札幌,28,中3週,Y,,2,サートゥルナーリア,ノヴェリスト,,
11,6,ヤマニンアルセド,牝2,54.0,田山,栗東・長谷川,差し,53.3,9,6,2歳未勝利,35.1,416(+2),阪神,20,中2週,Y,,2,ホークビル,シニスターミニスター,,
12,7,ラガーレッドムーン,牝2,52.0,森田,栗東・池添,差し,265.2,13,11,2歳新馬,37.4,472(-18),札幌,21,中2週,Y,,1,サリオス,ロードカナロア,,
13,7,モンドドゥアムール,牝2,53.0,永島,栗東・高橋康,先行,272.6,14,14,2歳新馬,40.6,412(-2),福島,90,中12週,Y,,1,ホットロッドチャーリー,ブラックタイド,,
14,8,ヴィヴィアンリーチ,牝2,55.0,松若,栗東・東田,差し,56.1,10,7,2歳未勝利,35.3,430(0),札幌,27,中3週,Y,,3,タワーオブロンドン,トーセンジョーダン,,
15,8,シガレス,牝2,52.0,和田陽,栗東・武幸,差し,118.8,11,11,2歳未勝利,39.0,438(-6),札幌,34,中4週,Y,,3,マテラスカイ,スペシャルウィーク,,
