券種,組み合わせ,配当,人気
単勝,5,200,1
複勝,5,100,3
複勝,1,100,1
複勝,2,100,2
馬連,1-5,370,3
ワイド,1-5,110,3
ワイド,2-5,110,2
ワイド,1-2,110,1
馬単,5-1,560,4
3連複,1-2-5,130,1
3連単,5-1-2,690,4
