コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"9(10,13,15)1(2,6,16)-(5,11)14,3(8,12)4,7"
4コーナー,"9,10(13,15)6(1,16)11(5,2,14)-(3,12)(8,4)7"
