コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"(*1,13,15)(5,8)14(7,12)(3,4)(2,6,16)10-11=9"
4コーナー,"(*13,15)8(1,5)14(7,12)(3,4)2(6,16,10)-11=9"
