券種,組み合わせ,配当,人気
単勝,3,440,3
複勝,3,160,2
複勝,10,190,4
複勝,6,360,7
枠連,3-8,890,4
馬連,3-10,980,3
ワイド,3-10,440,4
ワイド,3-6,1100,17
ワイド,6-10,730,12
馬単,3-10,2080,6
3連複,3-6-10,4120,19
3連単,3-10-6,19260,75
