券種,組み合わせ,配当,人気
単勝,9,200,1
複勝,9,120,1
複勝,6,160,2
複勝,8,310,6
枠連,6-8,520,2
馬連,6-9,550,1
ワイド,6-9,270,3
ワイド,8-9,630,8
ワイド,6-8,1020,13
馬単,9-6,820,1
3連複,6-8-9,2590,8
3連単,9-6-8,8210,23
