券種,組み合わせ,配当,人気
単勝,2,3580,10
複勝,2,880,10
複勝,4,360,6
複勝,5,460,7
枠連,2-3,6680,25
馬連,2-4,15830,46
ワイド,2-4,4550,45
ワイド,2-5,5140,51
ワイド,4-5,2390,32
馬単,2-4,34950,96
3連複,2-4-5,70060,174
3連単,2-4-5,522090,098
