馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ゴットリープ,牡5,坂口,美浦・栗田,差し,4.8,2,11,障害3歳以上未勝利,14.0,472(-10),京都,35,中4週,Y,,3,キンシャサノキセキ,コマンズ,,
2,2,キタノマキシム,牡4,上野,美浦・伊藤伸,差し,7.7,5,12,障害4歳以上未勝利,13.7,484(-2),新潟,190,中26週,Y,Y,3,ロジャーバローズ,キングカメハメハ,,
3,3,アスクオンディープ,セ6,小牧加,栗東・前川,先行,6.1,3,11,障害3歳以上未勝利,14.5,490(-16),京都,29,中3週,Y,,3,ディープインパクト,Curlin,,
4,4,ヒロピアーナ,牡5,,美浦・石栗,追込,62.8,10,16,3歳以上1勝クラス,37.6,536(-2),東京,43,中5週,Y,,2,リアルインパクト,エンパイアメーカー,,
5,5,アドミラブルエース,牡6,井上,美浦・蛯名利,先行,19.2,7,12,障害3歳以上未勝利,14.1,486(-10),東京,21,中2週,Y,,3,ワールドエース,アドマイヤムーン,,
6,6,リオンエトワール,セ5,大江圭,美浦・堀内,差し,6.5,4,10,障害3歳以上未勝利,13.9,440(-4),小倉,141,中19週,Y,,3,ルーラーシップ,ディープインパクト,,
7,6,サウンドブライアン,牡7,小野寺,栗東・加藤公,,13.0,6,12,障害3歳以上未勝利,14.1,490(-6),東京,42,中5週,Y,,3,クリーンエコロジー,ブライアンズタイム,,
8,7,ホークフィールド,牡4,高田,栗東・武英,差し,2.6,1,14,,34.9,490(+6),中山,63,中8週,Y,,3,キズナ,Hawk Wing,,
9,7,チンプンカンプン,牡3,江田勇,美浦・奥平,先行,32.4,9,14,3歳1勝クラス,38.6,470(0),東京,189,中26週,Y,Y,3,ホークビル,ビービーガルダン,,
10,8,アポロプラネット,牡6,草野,美浦・伊藤圭,差し,24.5,8,14,,37.0,498(0),東京,161,中22週,Y,,3,リオンディーズ,Ghostzapper,,
11,8,モズクルードラゴン,牡6,水沼,美浦・天間,差し,83.8,11,10,障害3歳以上未勝利,13.8,486(+6),中京,84,中11週,Y,,2,グランプリボス,ヴィクトワールピサ,,
