券種,組み合わせ,配当,人気
単勝,4,210,1
複勝,4,110,2
複勝,8,260,6
複勝,5,110,1
馬連,4-8,2550,9
ワイド,4-8,520,9
ワイド,4-5,140,1
ワイド,5-8,650,10
馬単,4-8,3420,13
3連複,4-5-8,1590,6
3連単,4-8-5,9370,35
