馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,コウジハラ,牝3,54.0,ミシェ,美浦・西田,,5.3,2,3,3歳以上1勝クラス,36.4,440(+2),中山,21,中2週,Y,,3,マテラスカイ,ワイルドラッシュ,,
2,1,ビアフォーナウ,牝5,54.0,小林美,美浦・池上,差し,76.5,11,13,3歳以上1勝クラス,36.4,464(-2),中山,21,中2週,Y,,3,バトルプラン,ダノンシャンティ,,
3,2,ステラノヴァ,牡4,58.0,横山和,美浦・水野,先行,14.6,6,2,3歳以上1勝クラス,34.6,462(+2),札幌,20,中2週,Y,,3,ベストウォーリア,フジキセキ,,
4,2,ラルフテソーロ,牡4,58.0,丹内,美浦・伊藤圭,先行,6.3,3,2,3歳以上1勝クラス,37.4,508(-2),中山,13,中1週,Y,,3,スワーヴリチャード,Acclamation,,B
5,3,ヘイルメリーラン,セ3,56.0,杉原,美浦・松山,先行,369.5,15,11,,34.3,456(+10),小倉,245,中34週,Y,Y,1,ミスチヴィアスアレックス,ハーツクライ,,
6,3,アイファーファイト,牡7,58.0,松岡,美浦・的場,差し,439.4,16,16,3歳以上1勝クラス,38.4,426(-16),東京,112,中15週,Y,,3,バトルプラン,ステイゴールド,,
7,4,トモジャシーマ,セ6,58.0,津村,美浦・鈴木伸,差し,9.6,5,3,3歳以上1勝クラス,36.2,504(0),中山,21,中2週,Y,,3,シャンハイボビー,グラスワンダー,,
8,4,ヒナノムサシ,牡3,53.0,上里,美浦・本間,先行,45.6,10,10,3歳以上1勝クラス,36.9,516(-6),札幌,20,中2週,Y,,3,ミッキーアイル,タニノギムレット,,
9,5,マイネルブリオン,牡4,58.0,菊沢,美浦・矢野,差し,132.4,12,9,3歳以上1勝クラス,37.0,498(-4),中山,21,中2週,Y,,3,ゴールドドリーム,ロージズインメイ,,B
10,5,ノアスペシャル,牝5,56.0,木幡巧,美浦・鈴木慎,差し,18.3,7,6,3歳以上1勝クラス,36.6,470(+10),福島,70,中9週,Y,,3,アジアエクスプレス,アグネスタキオン,,
11,6,リゾートライン,牡3,56.0,,美浦・伊坂,逃げ,8.1,4,11,3歳1勝クラス,37.6,516(+6),中山,168,中23週,Y,,3,ドレフォン,ロードカナロア,,
12,6,ソニックブレイカー,牡3,56.0,横山武,美浦・稲垣,先行,2.3,1,2,3歳以上1勝クラス,36.2,436(+4),福島,70,中9週,Y,,3,モーリス,サクラバクシンオー,,
13,7,ミラビリオン,牡3,56.0,佐々木,美浦・伊坂,差し,27.8,9,1,3歳未勝利,36.6,486(-8),福島,76,中10週,Y,,3,ベンバトル,マツリダゴッホ,,
14,7,スマートブル,牡4,56.0,石田,美浦・室井,差し,22.4,8,9,3歳以上1勝クラス,36.4,498(-4),新潟,27,中3週,Y,,3,オーヴァルエース,ワイルドラッシュ,,B
15,8,ガールネクストドア,牝4,56.0,嶋田,美浦・佐藤吉,差し,262.1,14,10,4歳以上1勝クラス,34.4,466(0),東京,118,中16週,Y,,3,カリフォルニアクローム,ネオユニヴァース,,
16,8,カツノテンス,牡6,55.0,遠藤,美浦・伊藤伸,差し,179.5,13,13,3歳以上1勝クラス,37.8,450(+6),新潟,62,中8週,Y,,3,シルバーステート,サウスヴィグラス,,
