馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ワールドスケール,牡6,団野,栗東・野中,差し,164.4,10,10,,35.8,484(+2),小倉,8,連闘,Y,,3,ワールドエース,アグネスデジタル,
2,2,タガノディアーナ,牝5,和田竜,栗東・長谷川,差し,19.8,6,8,,35.3,456(+4),中京,309,中43週,Y,Y,3,リオンディーズ,ディープインパクト,
3,3,トーホウディアス,牡5,秋山真,栗東・南井,先行,12.6,5,9,,35.3,462(0),中京,14,中1週,Y,,3,トーホウジャッカル,サクラバクシンオー,
4,4,シルヴェリオ B,牡6,イーガ,栗東・池添学,差し,12.3,4,8,,36.7,512(+8),函館,196,中27週,Y,Y,3,ハーツクライ,Silver Hawk,
5,5,リトルクレバー,牡6,,栗東・佐々木,差し,35.9,7,8,,32.9,474(+14),東京,85,中11週,Y,,3,キズナ,ウォーエンブレム,
6,6,ルージュスティリア,牝4,福永,栗東・藤原,先行,1.7,1,1,3歳以上2勝クラス,33.5,486(0),阪神,77,中10週,Y,,3,ディープインパクト,Storm Cat,
7,7,ロックユー B,セ5,岩田望,栗東・中内田,差し,70.9,9,11,,34.1,444(+6),阪神,49,中6週,Y,,3,ディープインパクト,Galileo,
8,7,カワキタレブリー,牡4,松山,栗東・杉山佳,先行,3.6,2,1,4歳以上2勝クラス,34.1,444(-2),中京,17,中1週,Y,,3,ドレフォン,ディープインパクト,
9,8,メモリーエフェクト,牡5,武豊,栗東・大久保,差し,8.4,3,6,,33.9,470(-2),阪神,49,中6週,Y,,3,モーリス,ノボジャック,
10,8,マルカエイペックス,牝6,小沢,栗東・今野,差し,58.9,8,10,,34.9,460(+6),中山,42,中5週,Y,,3,エピファネイア,キングカメハメハ,
