券種,組み合わせ,配当,人気
単勝,5,180,1
複勝,5,110,1
複勝,3,440,8
複勝,10,250,4
枠連,3-5,1920,9
馬連,3-5,2260,7
ワイド,3-5,860,8
ワイド,5-10,380,2
ワイド,3-10,1900,24
馬単,5-3,3510,11
3連複,3-5-10,4720,18
3連単,5-3-10,19270,58
