券種,組み合わせ,配当,人気
単勝,15,660,3
複勝,15,260,3
複勝,14,350,6
複勝,6,160,1
枠連,7-7,680,2
馬連,14-15,3740,14
ワイド,14-15,1260,14
ワイド,6-15,650,3
ワイド,6-14,870,8
馬単,15-14,6200,22
3連複,6-14-15,5050,8
3連単,15-14-6,30060,71
