馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,イトカワサクラ,牝4,鮫島駿,栗東・牧田,差し,5.0,3,1,3歳以上1勝クラス,34.4,450(0),函館,294,中41週,Y,Y,3,ゴールドシップ,Danehill Dancer,,
2,2,サラサハウプリティ,牝4,菱田,栗東・岡田,先行,21.6,8,13,4歳以上2勝クラス,38.2,436(0),阪神,14,中1週,Y,,3,ドレフォン,Medaglia d'Oro,,
3,3,ロマンシングブルー,牝5,団野,栗東・渡辺,差し,17.5,6,4,,35.6,482(+6),阪神,35,中4週,Y,,3,ハーツクライ,Astronomer Royal,,
4,4,ショウナンナダル,牝5,浜中,栗東・須貝,差し,101.0,10,8,4歳以上2勝クラス,34.9,452(-4),京都,105,中14週,Y,,3,ロードカナロア,ディープインパクト,,
5,5,ジェンヌ,牝5,Ｍデム,栗東・安達,追込,147.9,11,8,,34.3,424(-2),阪神,15,中1週,Y,,3,ディープインパクト,Myboycharlie,,
6,5,プリマヴィータ,牝5,古川吉,栗東・藤沢,,225.0,12,9,,35.0,448(+8),阪神,15,中1週,Y,,3,ハービンジャー,キングカメハメハ,,
7,6,アトミックフレア,牝6,泉谷,栗東・渡辺,差し,56.7,9,2,,35.8,450(+2),小倉,64,中8週,Y,,3,ドゥラメンテ,Bahri,,
8,6,タイセイフェリーク,牝4,松若,栗東・田中克,差し,9.5,4,7,,34.6,422(-6),京都,105,中14週,Y,,3,ミッキーロケット,ディープインパクト,,
9,7,コイニョウボウ,牝4,,栗東・中尾,差し,20.5,7,7,,35.4,418(-2),小倉,77,中10週,Y,,3,キズナ,キングカメハメハ,,
10,7,ラレーヌデリス,牝4,戸崎圭,栗東・安田,差し,15.0,5,13,4歳以上2勝クラス,36.5,442(+2),阪神,28,中3週,Y,,3,エピファネイア,ダイワメジャー,,
11,8,ケイデンシーマーク,牝4,武豊,栗東・福永,先行,2.6,1,2,4歳以上2勝クラス,33.3,442(0),阪神,21,中2週,Y,,3,ロードカナロア,ハーツクライ,,
12,8,ポルカリズム,牝4,モレイ,栗東・中内田,差し,3.2,2,4,,35.7,482(0),中山,49,中6週,Y,,3,ロードカナロア,フジキセキ,,
