券種,組み合わせ,配当,人気
単勝,11,190,1
複勝,11,140,1
複勝,16,160,2
複勝,15,1520,13
枠連,6-8,720,3
馬連,11-16,750,2
ワイド,11-16,340,2
ワイド,11-15,2310,27
ワイド,15-16,5790,42
馬単,11-16,910,2
3連複,11-15-16,10590,33
3連単,11-16-15,19530,51
