券種,組み合わせ,配当,人気
単勝,7,910,5
複勝,7,280,5
複勝,2,160,1
複勝,13,250,4
枠連,2-5,1730,11
馬連,2-7,2150,7
ワイド,2-7,880,7
ワイド,7-13,1500,21
ワイド,2-13,630,4
馬単,7-2,4760,15
3連複,2-7-13,4900,12
3連単,7-2-13,28950,77
