馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ミッキージャンプ,牡3,高杉,栗東・池江,先行,9.4,5,7,,34.6,460(+4),東京,13,中1週,Y,,3,サートゥルナーリア,E Dubai,,
2,2,レッドラージャ,牡3,坂井,栗東・友道,差し,6.7,4,5,,33.8,518(+4),東京,13,中1週,Y,,3,コントレイル,Giant's Causeway,,B
3,3,サイモンシャリオ,牡3,松若,栗東・梅田,差し,9.7,6,3,,34.8,490(+8),福島,28,中3週,Y,,3,アルアイン,ロージズインメイ,,
4,4,サトノアイボリー,牡3,団野,栗東・杉山晴,先行,3.9,2,2,3歳1勝クラス,34.6,488(+4),阪神,28,中3週,Y,,3,エピファネイア,クロフネ,,
5,5,ヨカオウ,牡3,田山,栗東・谷,,22.9,8,15,,37.1,468(+8),東京,21,中2週,Y,,3,キズナ,スクワートルスクワート,,
6,6,エチゴドラゴン,牡3,,栗東・宮本,逃げ,4.9,3,3,3歳1勝クラス,34.8,468(-4),阪神,28,中3週,Y,,3,リアルスティール,Milt's Overture,,
7,7,アイガーリー,牡3,菱田,栗東・秋山,差し,23.1,9,4,,34.2,442(+2),京都,21,中2週,Y,,3,モズアスコット,ディープインパクト,,
8,7,ワンダフルデイズ,牡3,Ｍデム,栗東・高橋忠,逃げ,19.5,7,9,3歳1勝クラス,38.1,502(+2),阪神,35,中4週,Y,,3,ルーラーシップ,ディープインパクト,,
9,8,エイシンイグニース,牡3,岩田望,栗東・野中,差し,3.5,1,7,,35.0,482(-6),阪神,56,中7週,Y,,3,スクリーンヒーロー,キングカメハメハ,,
10,8,マテンロウゼロ,牡3,太宰,栗東・松永幹,先行,69.8,10,12,,35.7,468(-2),東京,13,中1週,Y,,3,リオンリオン,ハービンジャー,,
