コーナー,通過順
1コーナー,"(*2,7)-(5,10)12(8,11)4(1,13)14(6,9)-3"
2コーナー,"(*2,7)-5,10,8,12(4,1,11)13,14(6,9)-3"
3コーナー,"2-7,5(8,10)-(1,12)(4,11)(13,14)(6,9,3)"
4コーナー,"2(7,5)-8,10,1,12,11(4,13,14)9,3-6"
