コーナー,通過順
1コーナー,"1,5(2,7)6,3,10(8,9)4"
2コーナー,"1,5(2,7)(3,6)-10(8,9)-4"
3コーナー,"(*1,5)7(2,6)3(8,9,10,4)"
4コーナー,"(1,*5,7)(2,6)(3,10)(8,9,4)"
