券種,組み合わせ,配当,人気
単勝,4,1850,6
複勝,4,400,6
複勝,14,180,2
複勝,10,2830,15
枠連,2-7,580,2
馬連,4-14,1970,5
ワイド,4-14,690,4
ワイド,4-10,25720,97
ワイド,10-14,11840,67
馬単,4-14,8800,30
3連複,4-10-14,111960,170
3連単,4-14-10,772550,081
