コーナー,通過順
1コーナー,"4,6,11,10-(3,7)(5,9)15,2(14,12)13,1,8"
2コーナー,"4,6,11,10,7,3(5,9)15(2,12)13,14(1,8)"
3コーナー,"(*6,11)(4,7,15)10(3,9,12,13)5,8,2-14=1"
4コーナー,"6(11,7,15)-(10,12)(9,13)(5,8)-(4,3,2)14=1"
