馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ミヤジレガリア,牝5,,栗東・鈴木孝,先行,42.4,10,13,,40.3,496(-14),京都,14,中1週,Y,,3,キタサンブラック,キングカメハメハ,,
2,1,サクソンジェンヌ,牝4,川田,栗東・高橋忠,差し,7.0,4,6,,38.4,470(+6),新潟,42,中5週,Y,,3,Saxon Warrior,Dark Angel,,
3,2,クリノクリスタル,牝5,田口,栗東・大橋,差し,143.5,15,10,,37.8,472(+6),中京,141,中19週,Y,,3,ブラックタイド,クロフネ,,
4,2,ルフトクス,牝4,北村友,栗東・杉山佳,先行,14.1,7,8,,38.7,468(-4),新潟,42,中5週,Y,,3,ニューイヤーズデイ,クロフネ,,
5,3,コーラルハート,牝4,鮫島駿,栗東・小林,,155.4,16,15,4歳以上2勝クラス,40.5,506(+6),阪神,85,中11週,Y,,3,デクラレーションオブウォー,ディープインパクト,,B
6,3,タマモナポリ,牝4,岩田望,栗東・河嶋,,32.6,9,1,4歳以上1勝クラス,37.6,464(+2),京都,42,中5週,Y,,3,カレンブラックヒル,ワイルドラッシュ,,
7,4,ハリウッドパーク,牝4,吉村,栗東・長谷川,差し,8.1,5,2,,38.4,508(+4),新潟,42,中5週,Y,,3,カリフォルニアクローム,シンボリクリスエス,,B
8,4,キタノブライド,牝5,菱田,栗東・坂口,差し,96.3,14,14,4歳以上2勝クラス,37.0,434(+6),阪神,71,中9週,Y,,3,マクフィ,ディープインパクト,,
9,5,タクシンイメル,牝4,高倉,栗東・武英,,57.3,11,16,4歳以上2勝クラス,44.7,484(+12),阪神,56,中7週,Y,,3,サトノダイヤモンド,Birdstone,,
10,5,ノボリクレバー,牝5,武豊,栗東・石橋,差し,3.6,1,2,,38.3,504(-6),京都,14,中1週,Y,,3,デクラレーションオブウォー,クロフネ,,B
11,6,エーリアル,牝4,ルメー,美浦・西田,先行,4.2,2,3,,35.6,508(-4),東京,21,中2週,Y,,3,リアルインパクト,キングカメハメハ,,
12,6,フローラルセント,牝4,坂井,栗東・松下,先行,24.3,8,1,4歳以上1勝クラス,39.1,476(+6),中京,77,中10週,Y,,3,キズナ,ハービンジャー,,
13,7,サイモンコーラル,牝5,高杉,栗東・羽月,差し,80.7,12,6,,35.6,462(+2),東京,21,中2週,Y,,3,ビーチパトロール,ゼンノロブロイ,,
14,7,カプラローラ,牝6,横山和,美浦・菊沢,差し,11.4,6,4,4歳以上2勝クラス,35.4,482(-8),東京,22,中2週,Y,,3,キタサンブラック,フレンチデピュティ,,B
15,8,アウロス,牝5,和田竜,栗東・高橋一,先行,85.2,13,12,,35.8,462(+6),東京,21,中2週,Y,,3,キズナ,エンパイアメーカー,,
16,8,パルクリチュード,牝5,松山,栗東・松永幹,先行,6.2,3,7,4歳以上2勝クラス,41.5,456(+6),阪神,56,中7週,Y,,3,Gun Runner,Global Hunter,,
