コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"9,16(1,10)(3,5)(4,11)-(2,8)(7,14)12,15-13-6"
4コーナー,"9,16(1,10)(3,4,5)(8,11)-(2,7,14)-(12,15)-13,6"
