コーナー,通過順
1コーナー,
2コーナー,"(5,*16)12(2,8)(11,13)(1,9)(6,15)(4,14)(3,7,10)"
3コーナー,"16,5,12(2,8)(1,9,11)(15,13)14,6(7,4)(3,10)"
4コーナー,"16,5,12,2,8(1,9,11)(15,13)(6,14,4)(3,7,10)"
