券種,組み合わせ,配当,人気
単勝,10,240,1
複勝,10,110,1
複勝,15,130,3
複勝,5,110,2
枠連,5-7,410,1
馬連,10-15,600,2
ワイド,10-15,260,2
ワイド,5-10,190,1
ワイド,5-15,270,3
馬単,10-15,910,2
3連複,5-10-15,530,1
3連単,10-15-5,2130,2
