馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ブラックナザレ,牡2,55.0,小崎,美浦・佐藤吉,差し,120.3,10,9,2歳新馬,34.9,486(+16),福島,91,中12週,Y,,1,キセキ,マツリダゴッホ,,
2,2,マルスフィス,牡2,55.0,岩田康,美浦・斎藤誠,差し,28.3,8,13,2歳新馬,35.2,486(-6),新潟,56,中7週,Y,,1,アドマイヤマーズ,キズナ,,
3,3,ニーナラルゴ,牝2,55.0,原田和,美浦・上原博,差し,3.4,1,2,2歳未勝利,36.0,438(0),札幌,56,中7週,Y,,2,Corniche,Bay of Plenty,,
4,4,タッカーヴィーチェ,牝2,55.0,丸山,美浦・田島,差し,26.3,6,5,2歳新馬,35.3,420(-2),中山,20,中2週,Y,,1,サートゥルナーリア,シンボリクリスエス,,
5,5,オシゴリ,牝2,55.0,内田博,美浦・深山,差し,265.0,12,12,2歳新馬,36.4,418(-2),中山,20,中2週,Y,,1,ロジャーバローズ,キングカメハメハ,,
6,5,リオンパリス,牡2,55.0,木幡巧,美浦・清水英,先行,169.9,11,10,2歳新馬,36.8,444(+4),中山,14,中1週,Y,,1,リオンディーズ,Aussie Rules,,
7,6,サムワンユーラヴド,牝2,53.0,小林美,美浦・大和田,先行,11.8,5,3,2歳新馬,35.0,388(+2),中山,14,中1週,Y,,1,ダノンキングリー,Minardi,,
8,6,ウィルステート,牡2,55.0,ルメー,美浦・黒岩,差し,3.5,2,4,2歳新馬,35.0,464(+2),新潟,56,中7週,Y,,1,シルバーステート,ジャスタウェイ,,
9,7,エコロテラ,牡2,55.0,菊沢,美浦・菊沢,差し,27.8,7,6,2歳未勝利,33.8,442(-2),新潟,55,中7週,Y,,2,ジャンダルム,ルーラーシップ,,
10,7,ヴェントリナ,牝2,55.0,津村,美浦・相沢,,3.9,3,2,2歳未勝利,34.3,450(+14),新潟,55,中7週,Y,,2,ゴールドシップ,ノヴェリスト,,
11,8,ハンサム,牡2,55.0,丹内,栗東・清水久,先行,5.3,4,3,2歳新馬,35.3,458(-6),中山,20,中2週,Y,,1,リオンディーズ,タイキシャトル,,
12,8,リキマル,牡2,55.0,,美浦・青木,先行,41.6,9,9,2歳新馬,35.3,488(+8),新潟,41,中5週,Y,,1,シュヴァルグラン,Grand Slam,,
