券種,組み合わせ,配当,人気
単勝,6,340,2
複勝,6,140,2
複勝,8,200,4
複勝,1,190,3
枠連,6-7,720,4
馬連,6-8,940,3
ワイド,6-8,380,5
ワイド,1-6,360,3
ワイド,1-8,730,10
馬単,6-8,2000,9
3連複,1-6-8,2020,7
3連単,6-8-1,9060,29
