コーナー,通過順
1コーナー,
2コーナー,"3,2,4(1,10,11)(7,9)8(5,14)12=136"
3コーナー,"3-(2,4)-10(1,11,9)-8,7(5,14)-12-136"
4コーナー,"3-4,2,10(1,11,9)(7,8)14(12,5)-136"
