券種,組み合わせ,配当,人気
単勝,15,130,1
複勝,15,110,1
複勝,10,740,11
複勝,9,660,10
枠連,5-8,1340,7
馬連,10-15,3270,12
ワイド,10-15,1060,10
ワイド,9-15,740,9
ワイド,9-10,8600,74
馬単,15-10,4140,16
3連複,9-10-15,17410,59
3連単,15-10-9,51970,166
