コーナー,通過順
1コーナー,"6-9,11,10-5,8,4,2(1,3)=7"
2コーナー,"6-(9,11)-10-5(2,8)(1,4)-3=7"
3コーナー,"6,11-(9,10)5,2-(1,4)-8=(3,7)"
4コーナー,"6,11-(9,10)5,2-1-4=8=(3,7)"
