コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"10,8(4,7)(1,11)13,3(6,14)(2,12,9)-5"
4コーナー,"(*10,8)(4,7)(1,11)(3,13)(6,14,9)(2,12)5"
