券種,組み合わせ,配当,人気
単勝,1,150,1
複勝,1,110,1
複勝,6,210,3
複勝,10,230,4
枠連,1-3,630,2
馬連,1-6,830,2
ワイド,1-6,370,2
ワイド,1-10,380,3
ワイド,6-10,1150,12
馬単,1-6,930,2
3連複,1-6-10,2220,4
3連単,1-6-10,5260,6
