券種,組み合わせ,配当,人気
単勝,9,230,1
複勝,9,120,1
複勝,10,130,2
複勝,2,180,4
枠連,8-8,380,1
馬連,9-10,440,1
ワイド,9-10,210,1
ワイド,2-9,340,3
ワイド,2-10,430,5
馬単,9-10,580,1
3連複,2-9-10,980,2
3連単,9-10-2,3180,3
