券種,組み合わせ,配当,人気
単勝,2,280,2
複勝,2,140,2
複勝,4,310,5
複勝,7,170,3
馬連,2-4,2330,9
ワイド,2-4,600,9
ワイド,2-7,310,3
ワイド,4-7,730,11
馬単,2-4,3220,13
3連複,2-4-7,2520,9
3連単,2-4-7,11290,44
