コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"(11,*13,14,9)(1,6,10)15,4-(2,8,5)3-16,12,7"
4コーナー,"13(14,9)(6,10)11(4,15)1-5,2,8-3-16,12,7"
