コーナー,通過順
1コーナー,"(*1,4)-(11,13)12-9(2,3)6,8,10,7-5"
2コーナー,"1,4-(11,13)-12,9,3-(2,6)8,10,7,5"
3コーナー,"1,4(11,13)-12-9,3-10,8,6(7,5)2"
4コーナー,"(*1,4,13)(11,12)9,3(10,8)-(6,7)5-2"
