馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,アウスヴァール,セ8,森一,栗東・昆,,9.2,6,16,,39.0,496(0),中山,91,中12週,Y,,3,ノヴェリスト,スペシャルウィーク,,
2,2,ブライトライツ,セ4,草野,美浦・秋本,先行,247.5,13,17,3歳未勝利,35.9,436(0),中山,232,中32週,Y,Y,3,ウインブライト,Lawman,,
3,3,フジフォンテ,セ7,石神深,美浦・粕谷,差し,3.4,1,3,障害4歳以上未勝利,13.8,468(-14),小倉,63,中8週,Y,,3,ロージズインメイ,メイショウオウドウ,,
4,3,アナザーエース,牡6,井上,栗東・宮,差し,3.6,2,2,障害4歳以上未勝利,14.0,528(+2),阪神,28,中3週,Y,,3,ヤマカツエース,タバスコキャット,,
5,4,スノーディーヴァ,牝5,水沼,美浦・深山,差し,6.5,4,2,障害4歳以上未勝利,13.8,460(0),小倉,56,中7週,Y,,3,エイシンヒカリ,ホワイトマズル,,
6,4,ホウオウサンデー,牡8,小野寺,栗東・井上,差し,45.1,8,12,4歳以上2勝クラス,33.3,478(+8),京都,112,中15週,Y,,3,キングカメハメハ,サンデーサイレンス,,
7,5,ボールドハーテッド,牡4,五十嵐,美浦・平岩,差し,231.5,11,10,3歳未勝利,39.7,470(+18),札幌,231,中32週,Y,Y,3,マジェスティックウォリアー,スペシャルウィーク,,
8,5,クラウングスタフ,牡5,,美浦・水野,差し,53.7,9,5,障害4歳以上未勝利,14.0,520(+2),中山,21,中2週,Y,,3,レイデオロ,ロサード,,
9,6,インターステラ,牡4,江田勇,美浦・天間,先行,12.7,7,3,障害4歳以上未勝利,13.8,474(-4),阪神,42,中5週,Y,,3,ダノンバラード,サッカーボーイ,,
10,6,ルーンファクター,牡6,大江圭,美浦・的場,差し,239.8,12,10,障害4歳以上未勝利,14.4,464(+2),小倉,70,中9週,Y,,3,インカンテーション,Cadeaux Genereux,,
11,7,アルヴィア,牡5,上野,美浦・和田雄,差し,109.3,10,10,4歳以上1勝クラス,34.5,478(0),東京,63,中8週,Y,,3,シュヴァルグラン,ファルブラヴ,,
12,7,アバットゥータ,牡4,小牧加,栗東・中竹,差し,6.4,3,2,障害4歳以上未勝利,13.8,466(+2),中山,22,中2週,Y,,3,ハービンジャー,キングカメハメハ,,
13,8,スノーリン,セ4,土田,美浦・和田雄,追込,331.1,14,13,障害4歳以上未勝利,14.3,472(0),阪神,42,中5週,Y,,3,ノヴェリスト,ハーツクライ,,
14,8,ライツフォル,牡6,難波,栗東・高橋忠,先行,7.4,5,8,障害4歳以上未勝利,14.0,500(+4),小倉,63,中8週,Y,,3,ミッキーアイル,エンパイアメーカー,,
