コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"3(8,9)(2,12,16)1,6-13,5,7-4,10-(15,14)11"
4コーナー,"3,8(2,9)12(1,16)6-13(5,7)-4,10,14(15,11)"
